@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
2.3,3.3,3.1,107.0,49.0,30.0,37.0,40.0,37.0,135.0,40.0,52.0,40.0,37.0,46.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,away
4.33,3.6,1.8,176.0,49.0,59.0,53.0,58.0,59.0,165.0,60.0,71.0,73.0,49.0,45.0,1.0,2.0,-1.0,0.0,2.0,1.0,1.0,1.0,away
2.0,3.3,3.75,145.0,57.0,50.0,36.0,49.0,46.0,164.0,50.0,58.0,41.0,51.0,55.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
2.0,3.4,3.25,141.0,51.0,47.0,50.0,42.0,52.0,145.0,55.0,47.0,50.0,44.0,54.0,0.2,2.2,-2.0,0.0,1.6,0.0,1.6,0.9,away
1.57,3.6,5.5,155.0,53.0,51.0,39.0,64.0,40.0,149.0,47.0,56.0,42.0,49.0,44.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.25,4.75,12.0,194.0,58.0,69.0,54.0,60.0,65.0,105.0,30.0,45.0,70.0,30.0,30.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.0,3.4,3.75,136.0,45.0,58.0,52.0,49.0,29.0,140.0,53.0,57.0,40.0,37.0,46.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
1.25,5.25,13.0,150.0,65.0,65.0,80.0,35.0,50.0,115.0,50.0,50.0,50.0,25.0,40.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
2.8,3.3,2.5,170.0,39.0,54.0,56.0,61.0,55.0,172.0,50.0,48.0,47.0,60.0,64.0,3.0,0.0,3.0,1.0,0.0,3.0,-3.0,0.0,home
2.05,3.3,3.6,196.0,69.0,67.0,70.0,58.0,71.0,153.0,38.0,63.0,63.0,50.0,40.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
1.2,6.5,15.0,137.0,41.0,49.0,56.0,42.0,46.0,135.0,55.0,40.0,45.0,35.0,60.0,4.0,0.0,4.0,1.0,0.0,4.0,-4.0,0.0,home
1.8,3.5,4.5,149.0,44.0,57.0,69.0,44.0,48.0,200.0,65.0,70.0,60.0,60.0,70.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
1.57,3.6,6.5,148.0,48.0,49.0,68.0,48.0,51.0,149.0,45.0,51.0,50.0,34.0,64.0,4.0,0.0,4.0,1.0,0.0,4.0,-4.0,0.0,home
3.0,3.3,2.38,205.0,70.0,70.0,55.0,65.0,70.0,169.0,56.0,60.0,56.0,45.0,64.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
1.57,3.5,7.0,168.0,53.0,62.0,35.0,57.0,49.0,145.0,51.0,52.0,49.0,47.0,46.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.53,3.6,7.5,164.0,47.0,64.0,53.0,47.0,53.0,130.0,50.0,35.0,50.0,30.0,65.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.4,3.3,2.88,149.0,44.0,57.0,69.0,44.0,48.0,156.0,44.0,56.0,46.0,44.0,56.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,0.0,home
1.29,5.5,10.5,141.0,48.0,38.0,60.0,48.0,55.0,148.0,42.0,40.0,60.0,38.0,70.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.05,3.3,3.6,150.0,59.0,42.0,54.0,47.0,61.0,175.0,53.0,66.0,30.0,33.0,76.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
